,City,Walk Score,Transit Score,Bike Score,Baseball Fields and Diamonds,Tennis and Pickleball Courts,Volleyball,Basketball Hoops,Disc Golf Courses,Skateparks,Outdoor Exercise Zones,Community Gardens,Dog Parks,Playgrounds,Splashpads,Swimming Pools,Rec Centers,Senior Centers,Park Units,Parks as City Area,Improved Trails,Nature Trails,Walkable Park Access
98,"Anchorage, AK",30.9,21.6,51.8,4.199525660134454,1.8588064397316435,0.3442234147651192,1.9620734641611792,0.06884468295302383,0.1721117073825596,0.06884468295302383,0.1721117073825596,0.2753787318120953,3.0980107328860726,0.0,0.1721117073825596,0.0,0.10326702442953575,8.028037023310148,0.8015589946525637,4.647016099329109,0.0,0.7555034532146226
14,"Fremont, CA",49.9,36.3,54.4,5.4684651841049945,1.9499953369676724,0.0847824059551162,2.204342554833021,0.0,0.0423912029775581,0.0847824059551162,0.0423912029775581,0.21195601488779048,1.9923865399452305,0.0423912029775581,0.0423912029775581,0.0,0.3391296238204648,3.1793402233168573,0.4397902938289903,1.8694520513103121,2.318798802872428,0.7303317435082142
43,"Chesapeake, VA",21.3,13.9,34.7,5.844708101075447,6.493255685508102,1.4522998746069238,11.715061494277643,0.13728120862517224,0.03918080767316937,0.3526272690585244,0.03918080767316937,0.19590403836584688,3.643815113604752,0.03918080767316937,0.0,0.07836161534633874,0.5485313074243713,3.4087302675657356,0.2717149206055275,0.940339384156065,1.5868227107633597,0.458026694254387
28,"Scottsdale, AZ",31.9,23.3,56.4,2.9674676119202767,3.780472437103914,1.30080772029382,3.2926695419937317,0.040650241259181874,0.08130048251836375,0.1626009650367275,0.0,0.12195072377754561,1.5040589265897293,0.1626009650367275,0.1626009650367275,0.0,0.36585217133263687,1.7886106154040022,0.2687201816527337,1.8292608566631843,2.6472571590652096,0.4000333683293861
15,"Irvine, CA",43.2,25.7,69.5,5.2334199302419595,4.167933237857369,0.8461217851289395,12.047771851745752,0.03133784389366443,0.03133784389366443,0.8059239496150893,0.09401353168099329,0.06267568778732886,3.6978655794524027,0.06267568778732886,0.25070275114931545,0.1764292015986467,0.7521082534479463,2.538365355386819,0.2621514133981091,5.553834774265457,2.6472571590652096,0.9367692050778724
92,"North Las Vegas, NV",33.7,33.3,48.5,1.2672022708264692,0.8327329208288227,0.39826357083117603,6.2273940166329345,0.03620577916647055,0.03620577916647055,0.1448231166658822,0.03620577916647055,0.1448231166658822,1.8102889583235275,0.1448231166658822,0.10861733749941165,0.0724115583329411,0.1448231166658822,1.2672022708264692,0.257411858974359,0.47067512916411713,0.0,0.5949731910774685
101,"Washington, DC",76.7,68.7,69.5,1.79793223635872,4.558536851240219,0.46717924251840753,7.205885892177862,0.0,0.08494168045789229,0.5521209229762998,0.7506394153497532,0.2689819881166589,1.9961294907604685,0.5238070294903358,0.46717924251840753,0.04247084022894614,0.9768293252657613,7.092630318234005,0.2383399138549892,5.553834774265457,0.08635737513219048,0.9881843631358947
30,"New Orleans, LA",58.0,43.9,65.7,1.2351270122277573,2.0842768331343406,0.30878175305693933,1.6468360163036766,0.025731812754744947,0.025731812754744947,0.2830499403021944,0.051463625509489894,0.07719543826423483,2.5989130882292395,0.025731812754744947,0.4374408168306641,0.0,0.41170900407591915,6.149903248384042,0.2299202535528064,0.3975565070608094,2.6472571590652096,0.8001837355443358
21,"New York, NY",88.0,88.6,69.3,1.4830091942045223,0.8382225880286429,0.1391381623853213,4.840424364608047,0.015836864011337385,0.046379387461773766,0.20248561843067084,0.4377761694562548,0.17986152698590316,2.2069801204370885,0.6730667204818388,0.07465950176773338,0.040723364600581846,0.17420550412471122,4.853998819474908,0.2137489862015995,0.5039516369322004,0.39931521400014974,0.9917808262907758
3,"San Francisco, CA",88.7,77.1,72.3,0.0,3.2698891858315364,0.35074935903383264,4.39002423564926,0.022628990905408555,0.07920146816892995,0.05657247726352139,0.610982754446031,0.4344664225223044,3.0775427631355634,0.12445944997974706,0.13577394543245133,0.0,0.44126532265546686,0.3054913772230155,0.2062023283821758,0.5809993414963647,0.3846928453919454,0.9972605536744312
